=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.015     0.076      3.932      0%        
h2->h254                        0.013     0.084      8.195      0%        
h3->h255                        0.013     0.073      6.730      0%        
h4->h256                        0.014     0.088      7.544      0%        
h5->h257                        0.013     0.079      7.755      0%        
h6->h258                        0.014     0.084      7.985      0%        
h7->h259                        0.013     0.115      25.464     0%        
h8->h260                        0.012     0.102      25.439     0%        
h9->h261                        0.015     0.124      35.292     0%        
h10->h262                       0.014     0.122      34.085     0%        
h11->h263                       0.014     0.202      79.209     0%        
h12->h264                       0.013     0.205      78.595     0%        
h13->h265                       0.014     0.170      64.407     0%        
h14->h266                       0.015     0.126      33.698     0%        
h15->h267                       0.012     0.120      32.646     0%        
h16->h268                       0.014     0.199      80.540     0%        
h17->h269                       0.013     0.134      33.165     0%        
h18->h270                       0.014     0.551      293.480    0%        
h19->h271                       0.012     0.279      127.008    0%        
h20->h272                       0.014     0.289      127.944    0%        
h21->h273                       0.014     0.359      175.667    0%        
h22->h274                       0.016     0.197      77.941     0%        
h23->h275                       0.013     0.284      125.355    0%        
h24->h276                       0.014     0.113      25.800     0%        
h25->h277                       0.015     0.215      89.892     0%        
h26->h278                       0.013     0.126      36.057     0%        
h27->h279                       0.013     0.158      58.183     0%        
h28->h280                       0.013     0.120      32.078     0%        
h29->h281                       0.014     0.374      179.941    0%        
h30->h282                       0.014     0.125      35.001     0%        
h31->h283                       0.014     0.156      48.731     0%        
h32->h284                       0.018     0.146      44.928     0%        
h33->h285                       0.011     0.116      31.879     0%        
h34->h286                       0.017     0.281      129.115    0%        
h35->h287                       0.013     0.365      178.494    0%        
h36->h288                       0.015     0.170      60.383     0%        
h37->h289                       0.013     0.652      351.059    0%        
h38->h290                       0.014     0.349      167.612    0%        
h39->h291                       0.014     0.351      170.720    0%        
h40->h292                       0.013     0.348      165.423    0%        
h41->h293                       0.013     0.382      190.108    0%        
h42->h294                       0.013     0.390      194.839    0%        
h43->h295                       0.013     0.169      61.960     0%        
h44->h296                       0.014     0.643      344.684    0%        
h45->h297                       0.012     0.639      342.757    0%        
h46->h298                       0.012     0.531      275.479    0%        
h47->h299                       0.013     0.648      348.253    0%        
h48->h300                       0.014     0.642      349.621    0%        
h49->h301                       0.012     0.529      277.014    0%        
h50->h302                       0.013     0.171      63.899     0%        
h51->h303                       0.013     0.475      247.235    0%        
h52->h304                       0.014     0.185      70.387     0%        
h53->h305                       0.014     0.246      104.363    0%        
h54->h306                       0.012     0.436      217.053    0%        
h55->h307                       0.013     0.538      288.412    0%        
h56->h308                       0.013     0.175      62.231     0%        
h57->h309                       0.013     0.423      214.502    0%        
h58->h310                       0.014     0.495      252.937    0%        
h59->h311                       0.015     0.431      216.441    0%        
h60->h312                       0.013     0.517      266.973    0%        
h61->h313                       0.013     0.270      112.866    0%        
h62->h314                       0.012     0.472      247.392    0%        
h63->h315                       0.015     0.491      253.485    0%        
h64->h316                       0.014     0.216      86.799     0%        
h65->h317                       0.012     0.179      67.791     0%        
h66->h318                       0.013     0.268      119.146    0%        
h67->h319                       0.018     0.171      63.999     0%        
h68->h320                       0.013     0.182      77.095     0%        
h69->h321                       0.013     0.484      253.873    0%        
h70->h322                       0.014     0.236      106.012    0%        
h71->h323                       0.013     0.264      120.391    0%        
h72->h324                       0.012     0.208      88.344     0%        
h73->h325                       0.013     0.520      275.686    0%        
h74->h326                       0.012     0.564      295.963    0%        
h75->h327                       0.014     0.233      98.115     0%        
h76->h328                       0.012     0.206      85.560     0%        
