=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.016     2.676      574.637    0%        
h2->h254                        0.013     2.778      584.502    0%        
h3->h255                        0.014     2.532      517.889    0%        
h4->h256                        0.016     2.316      517.938    0%        
h5->h257                        0.013     2.950      590.290    0%        
h6->h258                        0.013     2.639      597.797    0%        
h7->h259                        0.017     4.969      831.501    0%        
h8->h260                        0.014     4.716      815.972    0%        
h9->h261                        0.015     14.895     1584.318   0%        
h10->h262                       0.015     12.179     1462.284   0%        
h11->h263                       0.015     9.050      1169.181   0%        
h12->h264                       0.014     5.142      896.853    0%        
h13->h265                       0.014     4.612      777.071    0%        
h14->h266                       0.016     4.577      777.370    0%        
h15->h267                       0.014     4.638      777.083    0%        
h16->h268                       0.014     5.054      881.177    0%        
h17->h269                       0.014     11.939     1424.903   0%        
h18->h270                       0.016     12.210     1480.912   0%        
h19->h271                       0.013     4.498      766.050    0%        
h20->h272                       0.014     12.311     1468.774   0%        
h21->h273                       0.013     6.358      918.069    0%        
h22->h274                       0.015     5.121      880.720    0%        
h23->h275                       0.013     6.454      935.635    0%        
h24->h276                       0.017     11.846     1419.918   0%        
h25->h277                       0.013     11.904     1422.731   0%        
h26->h278                       0.014     11.372     1349.190   0%        
h27->h279                       0.013     9.169      1205.823   0%        
h28->h280                       0.013     11.284     1342.978   0%        
h29->h281                       0.014     11.480     1377.183   0%        
h30->h282                       0.014     11.761     1409.899   0%        
h31->h283                       0.015     11.614     1375.648   0%        
h32->h284                       0.014     15.240     1587.833   0%        
h33->h285                       0.013     11.825     1412.462   0%        
h34->h286                       0.015     11.786     1413.348   0%        
h35->h287                       0.014     14.962     1584.472   0%        
h36->h288                       0.016     12.296     1483.691   0%        
h37->h289                       0.014     14.401     1556.330   0%        
h38->h290                       0.014     11.859     1423.653   0%        
h39->h291                       0.015     11.894     1432.260   0%        
h40->h292                       0.014     12.067     1444.095   0%        
h41->h293                       0.013     11.163     1314.723   0%        
h42->h294                       0.014     12.042     1438.632   0%        
h43->h295                       0.014     11.949     1425.830   0%        
h44->h296                       0.014     14.270     1547.941   0%        
h45->h297                       0.014     12.011     1434.744   0%        
h46->h298                       0.013     12.037     1439.713   0%        
h47->h299                       0.013     12.109     1444.253   0%        
h48->h300                       0.015     15.529     1634.755   0%        
h49->h301                       0.014     11.465     1363.538   0%        
h50->h302                       0.015     14.055     1520.114   0%        
h51->h303                       0.013     14.221     1527.961   0%        
h52->h304                       0.014     11.353     1332.322   0%        
h53->h305                       0.016     14.165     1526.219   0%        
h54->h306                       0.015     11.312     1307.191   0%        
h55->h307                       0.016     11.419     1334.780   0%        
h56->h308                       0.013     14.130     1524.355   0%        
h57->h309                       0.016     12.405     1478.653   0%        
h58->h310                       0.014     12.452     1493.030   0%        
h59->h311                       0.014     12.527     1494.945   0%        
h60->h312                       0.015     14.119     1522.143   0%        
