=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.014     0.554      202.996    0%        
h2->h254                        0.013     0.505      203.562    0%        
h3->h255                        0.014     0.586      224.785    0%        
h4->h256                        0.016     2.898      682.445    0%        
h5->h257                        0.015     2.902      673.519    0%        
h6->h258                        0.014     2.870      676.671    0%        
h7->h259                        0.013     2.710      663.371    0%        
h8->h260                        0.014     13.685     1496.284   0%        
h9->h261                        0.013     13.810     1514.529   0%        
h10->h262                       0.014     13.628     1488.872   0%        
h11->h263                       0.013     7.024      1012.033   0%        
h12->h264                       0.014     2.909      673.318    0%        
h13->h265                       0.013     9.483      1240.708   0%        
h14->h266                       0.015     3.436      673.284    0%        
h15->h267                       0.015     7.355      1074.336   0%        
h16->h268                       0.013     4.828      793.851    0%        
h17->h269                       0.014     4.899      793.840    0%        
h18->h270                       0.015     12.281     1483.621   0%        
h19->h271                       0.013     13.787     1512.040   0%        
h20->h272                       0.014     6.592      911.925    0%        
h21->h273                       0.015     11.764     1415.679   0%        
h22->h274                       0.014     9.528      1260.666   0%        
h23->h275                       0.014     9.309      1227.146   0%        
h24->h276                       0.015     6.589      907.363    0%        
h25->h277                       0.012     11.427     1379.084   0%        
h26->h278                       0.014     7.345      1072.250   0%        
h27->h279                       0.014     11.514     1383.313   0%        
h28->h280                       0.013     9.572      1277.866   0%        
h29->h281                       0.014     11.472     1377.917   0%        
h30->h282                       0.013     7.330      1076.204   0%        
h31->h283                       0.014     9.328      1229.614   0%        
h32->h284                       0.014     7.464      1087.188   0%        
h33->h285                       0.013     9.213      1230.008   0%        
h34->h286                       0.014     9.596      1283.582   0%        
h35->h287                       0.015     8.971      1172.611   0%        
h36->h288                       0.015     9.615      1273.852   0%        
h37->h289                       0.013     11.204     1339.053   0%        
h38->h290                       0.012     11.435     1373.189   0%        
h39->h291                       0.014     11.505     1391.212   0%        
h40->h292                       0.013     11.557     1390.259   0%        
h41->h293                       0.014     9.621      1285.784   0%        
h42->h294                       0.014     9.626      1286.228   0%        
h43->h295                       0.016     9.479      1242.520   0%        
h44->h296                       0.014     4.932      797.381    0%        
h45->h297                       0.014     4.915      797.720    0%        
h46->h298                       0.013     9.673      1273.389   0%        
h47->h299                       0.015     11.305     1336.041   0%        
h48->h300                       0.014     9.560      1268.184   0%        
h49->h301                       0.015     9.557      1265.288   0%        
h50->h302                       0.014     11.842     1431.778   0%        
h51->h303                       0.012     9.625      1263.735   0%        
