=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.013     13.469     2316.752   0%        
h2->h254                        0.012     13.593     2298.482   0%        
h3->h255                        0.014     14.173     2357.236   0%        
h4->h256                        0.015     13.478     2328.219   0%        
h5->h257                        0.013     13.659     2326.713   0%        
h6->h258                        0.013     13.689     2326.606   0%        
h7->h259                        0.014     19.767     2490.072   0%        
h8->h260                        0.014     22.802     3012.030   0%        
h9->h261                        0.015     22.482     2999.611   0%        
h10->h262                       0.015     14.258     2385.244   0%        
h11->h263                       0.013     14.031     2341.296   0%        
h12->h264                       0.012     13.758     2336.760   0%        
h13->h265                       0.015     18.984     2424.618   0%        
h14->h266                       0.013     19.506     2475.928   0%        
h15->h267                       0.013     14.341     2401.522   0%        
h16->h268                       0.013     16.769     2619.200   0%        
h17->h269                       0.015     22.051     2664.069   0%        
h18->h270                       0.013     17.088     2585.527   0%        
h19->h271                       0.013     14.581     2385.270   0%        
h20->h272                       0.013     19.681     2485.208   0%        
h21->h273                       0.012     13.982     2341.326   0%        
h22->h274                       0.012     14.461     2341.268   0%        
h23->h275                       0.014     17.013     2565.056   0%        
h24->h276                       0.014     17.522     2628.369   0%        
h25->h277                       0.012     24.584     7124.938   0%        
h26->h278                       0.013     13.712     2481.999   0%        
h27->h279                       0.013     35.624     7209.858   0%        
h28->h280                       0.012     14.961     2644.542   0%        
h29->h281                       0.014     13.702     2497.043   0%        
h30->h282                       0.014     14.141     2548.860   0%        
h31->h283                       0.012     13.684     2481.995   0%        
h32->h284                       0.013     14.104     2572.917   0%        
h33->h285                       0.013     13.985     2556.337   0%        
h34->h286                       0.015     14.430     2596.979   0%        
h35->h287                       0.013     19.780     2700.558   0%        
h36->h288                       0.014     14.245     2548.822   0%        
h37->h289                       0.013     24.561     7124.458   0%        
h38->h290                       0.012     17.625     2655.272   0%        
h39->h291                       0.013     16.827     2554.739   0%        
h40->h292                       0.014     30.483     7222.317   0%        
h41->h293                       0.012     20.105     2721.249   0%        
h42->h294                       0.013     25.289     7142.372   0%        
h43->h295                       0.015     17.546     2627.546   0%        
h44->h296                       0.014     17.633     2635.341   0%        
h45->h297                       0.013     20.071     2745.004   0%        
h46->h298                       0.014     24.955     7143.670   0%        
h47->h299                       0.013     22.984     2711.385   0%        
h48->h300                       0.012     16.895     2572.985   0%        
h49->h301                       0.013     20.350     2779.726   0%        
h50->h302                       0.015     17.159     2582.353   0%        
h51->h303                       0.013     17.175     2592.897   0%        
h52->h304                       0.014     14.671     2615.244   0%        
h53->h305                       0.015     15.560     2721.514   0%        
h54->h306                       0.013     17.048     2570.781   0%        
h55->h307                       0.012     17.630     2628.007   0%        
h56->h308                       0.014     20.107     2750.382   0%        
h57->h309                       0.012     20.988     2779.499   0%        
h58->h310                       0.013     14.896     2614.025   0%        
h59->h311                       0.014     20.700     2779.615   0%        
h60->h312                       0.014     20.633     2779.645   0%        
h61->h313                       0.014     21.009     2801.536   0%        
h62->h314                       0.013     15.409     2701.305   0%        
h63->h315                       0.013     21.087     2806.173   0%        
h64->h316                       0.016     20.454     2761.489   0%        
h65->h317                       0.014     14.645     2594.133   0%        
h66->h318                       0.015     20.152     2752.826   0%        
h67->h319                       0.014     15.443     2684.393   0%        
h68->h320                       0.012     20.962     2792.785   0%        
h69->h321                       0.013     20.899     2761.456   0%        
h70->h322                       0.013     14.856     2608.960   0%        
h71->h323                       0.015     20.717     2780.637   0%        
h72->h324                       0.013     21.005     2806.157   0%        
h73->h325                       0.014     14.356     2563.016   0%        
h74->h326                       0.013     14.415     2578.501   0%        
h75->h327                       0.014     14.792     2596.998   0%        
h76->h328                       0.012     14.789     2622.709   0%        
h77->h329                       0.013     15.183     2665.948   0%        
h78->h330                       0.012     14.691     2609.381   0%        
h79->h331                       0.013     17.037     2591.104   0%        
h80->h332                       0.013     14.689     2591.124   0%        
h81->h333                       0.013     20.959     2748.287   0%        
h82->h334                       0.015     14.478     2566.789   0%        
h83->h335                       0.013     20.297     2732.468   0%        
h84->h336                       0.014     20.014     2726.547   0%        
h85->h337                       0.014     20.261     2728.767   0%        
h86->h338                       0.016     20.056     2708.116   0%        
h87->h339                       0.012     23.618     2754.327   0%        
h88->h340                       0.014     23.831     2789.530   0%        
h89->h341                       0.016     23.898     2801.290   0%        
h90->h342                       0.016     24.000     2801.735   0%        
h91->h343                       0.013     20.363     2730.009   0%        
h92->h344                       0.014     23.320     2726.415   0%        
h93->h345                       0.015     23.679     2775.043   0%        
h94->h346                       0.012     15.272     2627.558   0%        
h95->h347                       0.015     19.955     2708.153   0%        
h96->h348                       0.015     23.302     2740.529   0%        
h97->h349                       0.014     20.135     7079.118   0%        
h98->h350                       0.012     19.965     2606.232   0%        
h99->h351                       0.013     20.064     7081.147   0%        
h100->h352                      0.013     14.043     2471.019   0%        
h101->h353                      0.012     15.114     2588.215   0%        
h102->h354                      0.013     9.722      2114.849   0%        
h103->h355                      0.014     14.930     2531.301   0%        
h104->h356                      0.015     9.613      2059.424   0%        
h105->h357                      0.013     15.155     2605.273   0%        
h106->h358                      0.013     13.838     2459.334   0%        
h107->h359                      0.014     24.890     7092.795   0%        
