=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.016     0.075      9.894      0%        
h2->h254                        0.014     0.075      9.513      0%        
h3->h255                        0.013     0.073      9.136      0%        
h4->h256                        0.016     0.088      11.903     0%        
h5->h257                        0.014     0.125      41.034     0%        
h6->h258                        0.014     0.106      25.030     0%        
h7->h259                        0.018     0.123      38.155     0%        
h8->h260                        0.014     0.079      10.058     0%        
h9->h261                        0.015     0.143      50.167     0%        
h10->h262                       0.015     0.083      10.785     0%        
h11->h263                       0.015     0.079      9.669      0%        
h12->h264                       0.013     0.128      43.838     0%        
h13->h265                       0.015     0.165      65.815     0%        
h14->h266                       0.014     0.149      52.330     0%        
h15->h267                       0.012     0.126      42.356     0%        
h16->h268                       0.013     0.100      21.446     0%        
h17->h269                       0.015     0.123      39.608     0%        
h18->h270                       0.013     0.132      47.681     0%        
h19->h271                       0.015     0.132      41.520     0%        
h20->h272                       0.013     0.142      48.389     0%        
h21->h273                       0.014     0.143      48.819     0%        
h22->h274                       0.013     0.134      47.280     0%        
h23->h275                       0.015     0.093      22.804     0%        
h24->h276                       0.014     0.093      20.791     0%        
h25->h277                       0.017     0.140      50.973     0%        
h26->h278                       0.014     0.139      45.798     0%        
h27->h279                       0.014     0.199      83.827     0%        
h28->h280                       0.014     0.105      28.459     0%        
h29->h281                       0.013     0.137      50.720     0%        
h30->h282                       0.013     0.210      88.143     0%        
h31->h283                       0.014     0.171      65.146     0%        
h32->h284                       0.013     0.154      56.812     0%        
h33->h285                       0.014     0.273      129.923    0%        
h34->h286                       0.014     0.206      84.217     0%        
h35->h287                       0.014     0.190      78.947     0%        
h36->h288                       0.014     0.187      79.416     0%        
h37->h289                       0.015     0.277      135.385    0%        
h38->h290                       0.013     0.258      118.401    0%        
h39->h291                       0.015     0.300      145.204    0%        
h40->h292                       0.014     0.257      117.775    0%        
h41->h293                       0.016     0.144      49.047     0%        
h42->h294                       0.014     0.283      130.709    0%        
h43->h295                       0.013     0.274      129.039    0%        
h44->h296                       0.016     0.297      142.133    0%        
h45->h297                       0.013     0.243      115.198    0%        
h46->h298                       0.014     0.255      115.201    0%        
h47->h299                       0.016     0.151      54.551     0%        
h48->h300                       0.014     0.278      137.034    0%        
h49->h301                       0.014     0.150      55.381     0%        
h50->h302                       0.014     0.251      111.869    0%        
h51->h303                       0.014     0.142      52.226     0%        
h52->h304                       0.014     0.150      54.277     0%        
h53->h305                       0.015     0.236      102.478    0%        
h54->h306                       0.016     0.174      68.028     0%        
h55->h307                       0.014     0.229      100.571    0%        
h56->h308                       0.013     0.152      55.059     0%        
h57->h309                       0.015     0.169      67.081     0%        
h58->h310                       0.013     0.157      57.972     0%        
h59->h311                       0.017     0.166      61.815     0%        
h60->h312                       0.015     0.167      62.814     0%        
