=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.014     12.861     2281.975   0%        
h2->h254                        0.012     9.047      2004.674   0%        
h3->h255                        0.014     12.023     2651.844   0%        
h4->h256                        0.012     13.138     2314.036   0%        
h5->h257                        0.013     13.066     2301.913   0%        
h6->h258                        0.013     12.726     2282.013   0%        
h7->h259                        0.013     22.131     2966.055   0%        
h8->h260                        0.013     21.863     2954.329   0%        
h9->h261                        0.013     16.290     2699.679   0%        
h10->h262                       0.012     13.835     2380.517   0%        
h11->h263                       0.013     13.124     2290.803   0%        
h12->h264                       0.013     16.611     2856.455   0%        
h13->h265                       0.013     13.425     2326.723   0%        
h14->h266                       0.013     13.207     2341.611   0%        
h15->h267                       0.013     16.108     2411.225   0%        
h16->h268                       0.012     16.189     2433.688   0%        
h17->h269                       0.012     19.127     2471.142   0%        
h18->h270                       0.013     20.854     2485.846   0%        
h19->h271                       0.013     20.986     2484.535   0%        
h20->h272                       0.012     13.726     2405.445   0%        
h21->h273                       0.015     20.176     2432.079   0%        
h22->h274                       0.012     18.251     2418.649   0%        
h23->h275                       0.012     20.442     2457.206   0%        
h24->h276                       0.014     13.320     2357.369   0%        
h25->h277                       0.014     8.866      1929.195   0%        
h26->h278                       0.014     9.257      2041.526   0%        
h27->h279                       0.013     14.267     2308.265   0%        
h28->h280                       0.013     9.025      1969.019   0%        
h29->h281                       0.014     9.038      1951.280   0%        
h30->h282                       0.013     13.349     2247.502   0%        
h31->h283                       0.012     14.323     2303.988   0%        
h32->h284                       0.013     14.459     2322.969   0%        
h33->h285                       0.013     13.619     2257.847   0%        
h34->h286                       0.013     26.724     9006.034   0%        
h35->h287                       0.013     9.052      1951.269   0%        
h36->h288                       0.015     9.467      2008.498   0%        
h37->h289                       0.014     16.316     2361.885   0%        
h38->h290                       0.013     14.083     2296.209   0%        
h39->h291                       0.014     8.973      1940.169   0%        
h40->h292                       0.014     21.172     2465.979   0%        
h41->h293                       0.012     16.653     2431.163   0%        
h42->h294                       0.012     11.825     2263.309   0%        
h43->h295                       0.012     11.824     2312.820   0%        
h44->h296                       0.013     13.603     2257.899   0%        
h45->h297                       0.012     15.904     2347.783   0%        
h46->h298                       0.013     9.449      2063.222   0%        
h47->h299                       0.013     9.283      2012.261   0%        
h48->h300                       0.013     16.568     2403.677   0%        
h49->h301                       0.012     8.750      1906.318   0%        
h50->h302                       0.012     8.465      1861.449   0%        
h51->h303                       0.012     22.371     8982.159   0%        
h52->h304                       0.014     13.319     2183.581   0%        
h53->h305                       0.013     22.358     8986.446   0%        
h54->h306                       0.014     8.947      1937.023   0%        
h55->h307                       0.012     9.037      2025.339   0%        
h56->h308                       0.012     11.222     2214.967   0%        
h57->h309                       0.013     8.940      1954.368   0%        
h58->h310                       0.013     8.983      1954.387   0%        
h59->h311                       0.013     11.476     2270.625   0%        
h60->h312                       0.013     22.311     8958.249   0%        
h61->h313                       0.013     13.286     2187.241   0%        
h62->h314                       0.014     8.579      1886.473   0%        
h63->h315                       0.013     9.045      1919.167   0%        
h64->h316                       0.013     13.048     2177.141   0%        
h65->h317                       0.013     13.059     2177.133   0%        
h66->h318                       0.016     22.374     8961.355   0%        
h67->h319                       0.012     11.419     2307.514   0%        
h68->h320                       0.013     11.514     2290.343   0%        
h69->h321                       0.013     22.383     8961.699   0%        
h70->h322                       0.013     9.087      1969.508   0%        
h71->h323                       0.013     13.156     2161.813   0%        
h72->h324                       0.012     13.207     2173.377   0%        
h73->h325                       0.012     13.926     2302.031   0%        
h74->h326                       0.014     13.296     2267.946   0%        
h75->h327                       0.012     14.172     2317.527   0%        
h76->h328                       0.016     18.683     2372.839   0%        
h77->h329                       0.012     13.332     2238.302   0%        
h78->h330                       0.013     9.295      1974.149   0%        
h79->h331                       0.013     13.531     2278.729   0%        
h80->h332                       0.013     13.400     2267.918   0%        
h81->h333                       0.013     21.379     2448.804   0%        
h82->h334                       0.013     18.827     2413.494   0%        
h83->h335                       0.012     13.246     2256.417   0%        
h84->h336                       0.012     18.211     2357.378   0%        
h85->h337                       0.013     16.136     2342.430   0%        
h86->h338                       0.012     15.732     2290.890   0%        
h87->h339                       0.013     14.382     2400.018   0%        
h88->h340                       0.013     16.408     2372.805   0%        
h89->h341                       0.014     18.740     2385.922   0%        
h90->h342                       0.013     13.927     2286.747   0%        
h91->h343                       0.014     16.631     2399.998   0%        
h92->h344                       0.013     21.206     2452.964   0%        
h93->h345                       0.014     14.581     2413.520   0%        
h94->h346                       0.012     13.956     2342.445   0%        
h95->h347                       0.013     20.377     2357.270   0%        
h96->h348                       0.014     21.102     2435.722   0%        
h97->h349                       0.014     9.427      2027.342   0%        
h98->h350                       0.013     9.664      2091.838   0%        
h99->h351                       0.013     22.561     8957.911   0%        
h100->h352                      0.017     9.652      2066.451   0%        
h101->h353                      0.013     9.500      2040.448   0%        
h102->h354                      0.015     27.058     8986.890   0%        
h103->h355                      0.013     9.186      1984.408   0%        
h104->h356                      0.014     13.431     2174.294   0%        
h105->h357                      0.013     9.049      1968.213   0%        
h106->h358                      0.013     9.110      1984.378   0%        
h107->h359                      0.013     23.086     8951.702   0%        
h108->h360                      0.015     22.832     8952.076   0%        
h109->h361                      0.013     9.449      2054.827   0%        
h110->h362                      0.013     9.093      1997.572   0%        
h111->h363                      0.014     11.742     2320.479   0%        
h112->h364                      0.013     14.459     2220.037   0%        
h113->h365                      0.013     16.277     2406.748   0%        
h114->h366                      0.015     14.132     2209.549   0%        
h115->h367                      0.013     9.174      1968.234   0%        
h116->h368                      0.014     13.985     2217.776   0%        
h117->h369                      0.013     13.860     2188.556   0%        
h118->h370                      0.014     23.316     8970.144   0%        
h119->h371                      0.013     14.189     2217.734   0%        
h120->h372                      0.015     27.316     9013.369   0%        
h121->h373                      0.013     11.786     2288.381   0%        
