=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.013     0.075      4.826      0%        
h2->h254                        0.014     0.125      33.086     0%        
h3->h255                        0.012     0.131      33.733     0%        
h4->h256                        0.014     0.078      5.262      0%        
h5->h257                        0.014     0.116      31.995     0%        
h6->h258                        0.013     0.297      136.372    0%        
h7->h259                        0.014     0.124      32.061     0%        
h8->h260                        0.016     0.275      126.291    0%        
h9->h261                        0.018     0.290      132.143    0%        
h10->h262                       0.014     0.297      142.159    0%        
h11->h263                       0.014     0.190      71.692     0%        
h12->h264                       0.015     0.599      321.968    0%        
h13->h265                       0.014     0.548      284.534    0%        
h14->h266                       0.014     0.269      122.813    0%        
h15->h267                       0.013     0.177      66.530     0%        
h16->h268                       0.012     0.538      277.492    0%        
h17->h269                       0.013     0.179      68.920     0%        
h18->h270                       0.014     0.272      122.367    0%        
h19->h271                       0.014     0.271      120.956    0%        
h20->h272                       0.014     0.509      270.032    0%        
h21->h273                       0.015     0.186      67.886     0%        
h22->h274                       0.017     0.180      67.259     0%        
h23->h275                       0.015     0.370      181.243    0%        
h24->h276                       0.012     0.261      118.532    0%        
h25->h277                       0.012     0.369      181.754    0%        
h26->h278                       0.013     0.377      186.227    0%        
h27->h279                       0.012     0.542      292.400    0%        
h28->h280                       0.016     0.375      183.336    0%        
h29->h281                       0.013     0.409      208.146    0%        
h30->h282                       0.014     0.645      348.064    0%        
h31->h283                       0.014     0.644      347.777    0%        
h32->h284                       0.016     0.632      339.032    0%        
h33->h285                       0.015     0.373      185.028    0%        
h34->h286                       0.013     0.423      215.079    0%        
h35->h287                       0.013     0.554      292.834    0%        
h36->h288                       0.014     0.544      292.515    0%        
h37->h289                       0.013     0.161      59.773     0%        
h38->h290                       0.012     0.274      124.742    0%        
h39->h291                       0.013     0.590      312.886    0%        
h40->h292                       0.012     0.600      325.521    0%        
h41->h293                       0.017     0.659      356.342    0%        
h42->h294                       0.013     0.374      182.631    0%        
h43->h295                       0.014     0.426      216.345    0%        
h44->h296                       0.014     0.587      316.354    0%        
h45->h297                       0.012     0.618      333.913    0%        
h46->h298                       0.012     0.602      326.568    0%        
h47->h299                       0.015     0.574      304.134    0%        
h48->h300                       0.014     0.582      303.472    0%        
h49->h301                       0.017     0.213      84.690     0%        
h50->h302                       0.013     0.529      277.839    0%        
h51->h303                       0.012     0.216      91.970     0%        
h52->h304                       0.015     0.506      257.875    0%        
h53->h305                       0.014     0.521      273.952    0%        
h54->h306                       0.013     0.207      84.139     0%        
h55->h307                       0.012     0.534      280.200    0%        
h56->h308                       0.013     0.203      84.445     0%        
h57->h309                       0.014     0.213      91.260     0%        
h58->h310                       0.013     0.208      90.182     0%        
h59->h311                       0.013     0.501      265.723    0%        
h60->h312                       0.017     0.203      81.136     0%        
h61->h313                       0.016     0.230      98.469     0%        
