=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500+ hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.016     1.191      398.634    0%        
h2->h254                        0.014     1.186      398.668    0%        
h3->h255                        0.014     1.053      398.905    0%        
h4->h256                        0.015     1.203      398.896    0%        
h5->h257                        0.015     4.809      838.770    0%        
h6->h258                        0.015     4.768      838.709    0%        
h7->h259                        0.017     9.037      1113.302   0%        
h8->h260                        0.016     12.548     1474.319   0%        
h9->h261                        0.013     12.504     1472.937   0%        
h10->h262                       0.015     12.499     1474.059   0%        
h11->h263                       0.014     9.293      1192.700   0%        
h12->h264                       0.017     8.925      1123.441   0%        
h13->h265                       0.014     9.945      1259.027   0%        
h14->h266                       0.014     14.642     1564.057   0%        
h15->h267                       0.017     9.176      1142.272   0%        
h16->h268                       0.017     9.087      1124.067   0%        
h17->h269                       0.017     9.974      1269.145   0%        
h18->h270                       0.015     12.618     1488.652   0%        
h19->h271                       0.015     9.964      1268.619   0%        
h20->h272                       0.017     12.551     1484.353   0%        
h21->h273                       0.015     14.716     1557.326   0%        
h22->h274                       0.015     9.048      1125.305   0%        
h23->h275                       0.015     12.515     1478.375   0%        
h24->h276                       0.016     14.688     1558.387   0%        
h25->h277                       0.016     12.494     1465.677   0%        
h26->h278                       0.017     10.095     1281.608   0%        
h27->h279                       0.015     10.053     1274.176   0%        
h28->h280                       0.014     12.138     1421.785   0%        
h29->h281                       0.016     10.043     1282.478   0%        
h30->h282                       0.015     11.681     1324.366   0%        
h31->h283                       0.015     11.881     1378.449   0%        
h32->h284                       0.015     10.033     1280.889   0%        
h33->h285                       0.014     11.830     1386.601   0%        
h34->h286                       0.016     11.787     1369.284   0%        
h35->h287                       0.016     10.144     1293.176   0%        
h36->h288                       0.014     11.661     1323.588   0%        
h37->h289                       0.016     11.576     1317.357   0%        
h38->h290                       0.015     9.783      1250.390   0%        
